Item Name,units,avg_price,avg_cost,margin_pct,popularity_pctile,suggested_change_pct,suggested_price,reason
Cafe Latte,2560,217.532154340836,62.44323151125402,71.29471194708252,1.0,5.0,230.0,Trending + healthy margin - raise price to capture profit
Cold Brew,2527,287.38499452354876,90.29153340635268,68.58168132402123,0.9859154929577465,5.0,300.0,Trending + healthy margin - raise price to capture profit
Cafe Mocha,2517,247.3658269441402,77.805421686747,68.54641457636875,0.971830985915493,5.0,260.0,Trending + healthy margin - raise price to capture profit
Iced Tea (Lemon),2500,179.3864864864865,47.14310810810811,73.71981076642612,0.9577464788732394,5.0,190.0,Trending + healthy margin - raise price to capture profit
Iced Tea (Peach),2449,179.23229461756375,47.69158073654391,73.39118999826138,0.9436619718309859,5.0,190.0,Trending + healthy margin - raise price to capture profit
Masala Chai,2447,98.53942144072603,18.147203630175838,81.58381349834508,0.9295774647887324,5.0,105.0,Trending + healthy margin - raise price to capture profit
Fresh Lime Soda,2446,138.99775407074677,30.611819202695116,77.97675264082729,0.9154929577464789,5.0,145.0,Trending + healthy margin - raise price to capture profit
Lemonade,2442,157.7639751552795,41.903619424054206,73.43904438081604,0.9014084507042254,5.0,165.0,Trending + healthy margin - raise price to capture profit
Americano,2433,157.21408450704226,37.635385915492954,76.06105964773971,0.8873239436619719,5.0,165.0,Trending + healthy margin - raise price to capture profit
Iced Latte,2432,238.34168057874234,69.29901502504174,70.92450852206397,0.8732394366197183,5.0,250.0,Trending + healthy margin - raise price to capture profit
Espresso,2394,117.6533483398987,25.76158694428813,78.10382168651647,0.8591549295774648,5.0,125.0,Trending + healthy margin - raise price to capture profit
Green Tea,2369,138.9510901591043,30.364130819092516,78.14761238337574,0.8450704225352113,5.0,145.0,Trending + healthy margin - raise price to capture profit
Flat White,2343,229.1891891891892,67.17316098707403,70.69095570139459,0.8309859154929577,5.0,240.0,Trending + healthy margin - raise price to capture profit
Cold Coffee,2320,258.3490288404944,81.0725838728664,68.6189709182453,0.8169014084507042,5.0,270.0,Trending + healthy margin - raise price to capture profit
Kashmiri Kahwa,2262,156.4224664224664,38.27167887667888,75.53313168370931,0.8028169014084507,5.0,165.0,Trending + healthy margin - raise price to capture profit
Cappuccino,2251,198.2827380952381,51.61085119047619,73.97108205874848,0.7887323943661971,5.0,210.0,Trending + healthy margin - raise price to capture profit
Bruschetta,2245,260.76900059844405,94.20688809096349,63.87343285637242,0.7746478873239436,5.0,275.0,Trending + healthy margin - raise price to capture profit
Margherita Pizza,2244,382.10096735187426,158.1641898428053,58.606702584672355,0.7605633802816901,5.0,400.0,Trending + healthy margin - raise price to capture profit
Pesto Pasta,2239,429.63089330024815,191.3724627791563,55.45654054132103,0.7464788732394366,0.0,430.0,Balanced - keep price stable
Alfredo Pasta,2226,423.05043050430504,186.89961254612547,55.82096150491365,0.7323943661971831,0.0,425.0,Balanced - keep price stable
Vanilla Shake,2208,256.6160657811512,88.60223276407338,65.47284267087328,0.7183098591549296,0.0,255.0,Balanced - keep price stable
Virgin Mojito,2202,209.7058823529412,62.46444655281467,70.21330739416972,0.704225352112676,0.0,210.0,Balanced - keep price stable
Paneer Burger,2195,311.0584869675779,131.47638906547996,57.73258259332306,0.6901408450704225,0.0,310.0,Balanced - keep price stable
Chicken Caesar Wrap,2193,361.68682367918524,159.49057924888606,55.90367997747312,0.676056338028169,0.0,360.0,Balanced - keep price stable
Caesar Salad,2182,340.32704402515725,158.20693081761004,53.513265079834426,0.6619718309859155,0.0,340.0,Balanced - keep price stable
Blueberry Muffin,2175,156.91922354414527,57.44310582341891,63.39320031923384,0.647887323943662,0.0,155.0,Balanced - keep price stable
Penne Arrabbiata,2169,361.4120947630923,148.55680798004988,58.89545199713647,0.6267605633802817,0.0,360.0,Balanced - keep price stable
Grilled Cheese,2169,288.6681360201511,119.84307934508816,58.48413302647223,0.6267605633802817,0.0,290.0,Balanced - keep price stable
Frappe,2153,308.87748556767156,115.28347658755612,62.676633301491044,0.6056338028169014,0.0,310.0,Balanced - keep price stable
Paneer Tikka Wrap,2141,319.0587492103601,131.3676310802274,58.82650721682143,0.5915492957746479,0.0,320.0,Balanced - keep price stable
Veg Sandwich,2137,244.67741935483872,102.00512966476913,58.31036229917148,0.5774647887323944,0.0,245.0,Balanced - keep price stable
